Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100uF 25V","CP_Radial_D8.0mm_P3.50mm",143.300000,-26.000000,0.000000,top
"C2","100nF","C_Disc_D5.0mm_W2.5mm_P5.00mm",129.750000,-29.250000,-90.000000,top
"C3","1000uF 10V","CP_Radial_D12.5mm_P5.00mm",99.100000,-38.700000,-90.000000,top
"C4","100nF","C_Disc_D5.0mm_W2.5mm_P5.00mm",97.900000,-33.100000,180.000000,top
"C_bias1","1nf","C_Disc_D5.0mm_W2.5mm_P5.00mm",115.200000,-56.700000,-90.000000,top
"C_byp_U1","100nF","C_Disc_D5.0mm_W2.5mm_P5.00mm",121.800000,-38.400000,180.000000,top
"C_byp_U2","100nf","C_Disc_D5.0mm_W2.5mm_P5.00mm",154.800000,-80.000000,180.000000,top
"C_hp_in1","1uF","C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2",146.000000,-73.500000,0.000000,top
"C_hp_in2","1uF","C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2",168.800000,-76.000000,180.000000,top
"C_hp_out1","470uF 10V","CP_Radial_D10.0mm_P5.00mm",129.900000,-67.400000,180.000000,top
"C_hp_out2","470uF 10V","CP_Radial_D10.0mm_P5.00mm",153.000000,-88.800000,180.000000,top
"C_in1","1uF","C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2",108.700000,-51.600000,90.000000,top
"C_pwr_U1","100uF 25V","CP_Radial_D8.0mm_P3.50mm",134.700000,-36.600000,0.000000,top
"C_pwr_U2","100uF 25V","CP_Radial_D8.0mm_P3.50mm",161.700000,-88.100000,0.000000,top
"C_treble1","1nF","C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2",154.500000,-51.900000,0.000000,top
"C_vol1","2.2uF","C_Rect_L13.5mm_W5.0mm_P10.00mm_FKS3_FKP3_MKS4",143.100000,-36.400000,0.000000,top
"C_vref_U1","100nF","C_Disc_D5.0mm_W2.5mm_P5.00mm",108.300000,-38.300000,-90.000000,top
"C_vref_U2","100nf","C_Disc_D5.0mm_W2.5mm_P5.00mm",171.900000,-83.200000,0.000000,top
"D1","1N5819","D_DO-41_SOD81_P10.16mm_Horizontal",116.080000,-26.000000,180.000000,top
"J_BASS_POT1","BASS_POT","PinHeader_1x03_P2.54mm_Vertical",127.540000,-55.700000,-90.000000,top
"J_HP_OUT1","HP_OUT","PinHeader_1x03_P2.54mm_Vertical",121.600000,-78.860000,0.000000,top
"J_LED1","LED","PinHeader_1x02_P2.54mm_Vertical",172.800000,-50.500000,0.000000,top
"J_LINE_OUT1","LINE_OUT","PinHeader_1x02_P2.54mm_Vertical",173.700000,-35.860000,0.000000,top
"J_PICKUP1","PICKUP","PinHeader_1x02_P2.54mm_Vertical",92.800000,-51.725000,0.000000,top
"J_SWITCH1","SWITCH","PinHeader_1x06_P2.54mm_Vertical",158.700000,-30.820000,0.000000,top
"J_TREB_POT1","TREB_POT","PinHeader_1x03_P2.54mm_Vertical",151.100000,-54.440000,180.000000,top
"J_VOL_POT1","VOL_POT","PinHeader_1x03_P2.54mm_Vertical",167.200000,-38.379999,180.000000,top
"L1","100uH","L_Radial_D10.0mm_P5.00mm_Fastron_07M",120.500000,-26.000000,0.000000,top
"PWR_IN1","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",102.000000,-26.000000,180.000000,top
"R1","1M","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",111.900000,-46.579999,90.000000,top
"R2","100R","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",120.220000,-52.300000,0.000000,top
"R8","10R","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",144.179999,-67.300000,180.000000,top
"R11","10R","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",157.500000,-78.720001,-90.000000,top
"R_LED1","2.2K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",167.720000,-45.600000,0.000000,top
"R_bass1","22K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",129.979999,-59.200000,180.000000,top
"R_bass2","22K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",136.120000,-43.900000,0.000000,top
"R_bias1","100R","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",112.000000,-59.279999,90.000000,top
